"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","2.9","37.3","0.1","0.1","0.7","0.0","0.0","4.3"
"","low","1.0","15.5","0.0","0.0","0.0","0.0","0.0","1.8"
"Robert Foster","BUF","1.5","25.5","0.1","0.0","0.1","0.0","0.0","3.1"
"","high","2.1","36.4","0.2","0.0","0.2","0.0","0.0","4.2"
"","low","0.8","17.9","0.0","0.0","0.0","0.0","0.0","2.5"
"Aldrick Robinson","MIN","1.6","21.7","0.2","0.0","0.0","0.0","0.0","3.1"
"","high","3.5","47.6","0.3","0.0","0.0","0.0","0.0","6.6"
"","low","0.3","5.9","0.0","0.0","0.0","0.0","0.0","0.8"
"DaeSean Hamilton","DEN","1.8","24.2","0.1","0.0","0.2","0.0","0.0","3.0"
"","high","3.0","40.5","0.2","0.1","0.6","0.0","0.0","5.3"
"","low","0.2","1.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Chester Rogers","IND","2.1","22.6","0.1","0.0","0.0","0.0","0.0","2.9"
"","high","2.6","26.0","0.2","0.1","0.1","0.0","0.0","3.8"
"","low","1.2","14.0","0.1","0.0","-0.2","0.0","0.0","1.8"
"Cordarrelle Patterson","NE","1.2","15.1","0.1","1.5","7.0","0.0","0.1","2.8"
"","high","1.9","26.9","0.2","2.7","11.1","0.1","0.0","5.6"
"","low","0.7","7.0","0.0","0.6","3.0","0.0","0.1","1.8"
"Travis Benjamin","LAC","1.5","21.4","0.1","0.4","2.5","0.0","0.1","2.8"
"","high","3.0","40.0","0.2","0.6","3.1","0.0","0.0","4.0"
"","low","0.5","4.6","0.0","0.1","1.0","0.0","0.1","0.7"
"Chris Hogan","NE","1.4","20.9","0.1","0.0","0.1","0.0","0.0","2.8"
"","high","2.0","26.1","0.2","0.1","0.3","0.0","0.0","3.8"
"","low","0.7","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Torrey Smith","CAR","1.6","19.8","0.1","0.0","0.0","0.0","0.0","2.7"
"","high","2.1","27.3","0.2","0.0","0.0","0.0","0.0","3.9"
